Group,Subgroup,Week,Time Period Label,Time Period Start Date,Time Period End Date,Value
age,18 - 29 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.8
age,30 - 39 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.8
age,40 - 49 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,45.6
age,50 - 59 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,46
age,60 - 69 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,46.4
age,70 - 79 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.2
age,80 years and above,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.6
gender,Male,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.1
gender,Female,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,47.1
race,Hispanic or Latino,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.3
race,"Non-Hispanic White, single race",1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,44.6
race,"Non-Hispanic Black, single race",1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.5
race,"Non-Hispanic Asian, single race",1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,37.8
race,"Non-Hispanic, other races and multiple races",1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,49.2
education,Less than a high school diploma,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.9
education,High school diploma or GED,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,39.4
education,Some college/Associates degree,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,44.7
education,Bachelor degree or higher,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,47.6
,18 - 29 years,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,43.4
,30 - 39 years,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,45.1
,40 - 49 years,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,46.8
,50 - 59 years,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,49.5
,60 - 69 years,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,44.2
,70 - 79 years,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,41.3
,80 years and above,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,47.8
,Male,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,42.2
,Female,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,48.7
,Hispanic or Latino,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,40.7
,"Non-Hispanic White, single race",2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,46.4
,"Non-Hispanic Black, single race",2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,48.7
,"Non-Hispanic Asian, single race",2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,37.1
,"Non-Hispanic, other races and multiple races",2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,56.2
,Less than a high school diploma,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,38.1
,High school diploma or GED,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,40.7
,Some college/Associates degree,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,48.6
,Bachelors degree or higher,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,48.9
,18 - 29 years,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,41
,30 - 39 years,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,44.2
,40 - 49 years,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,45.7
,50 - 59 years,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,48.7
,60 - 69 years,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,46.6
,70 - 79 years,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,41
,80 years and above,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,43.7
,Male,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,41.3
,Female,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,48.1
,Hispanic or Latino,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,42.2
